Area,Year,Temperature Change
Eastern Africa,1963,0.157
Eastern Africa,1963,-0.178
Eastern Africa,1963,-0.041
Eastern Africa,1963,0.178
Eastern Africa,1963,-0.157
Eastern Africa,1963,-0.245
Middle Africa,1963,-0.121
Middle Africa,1963,0.36
Middle Africa,1963,-0.367
Middle Africa,1963,-0.406
Middle Africa,1963,-0.262
Middle Africa,1963,0.229
Middle Africa,1963,0.21
Middle Africa,1963,0.17
Middle Africa,1963,0.44
Middle Africa,1963,0.188
Middle Africa,1963,-0.298
Middle Africa,1963,0.226
Northern Africa,1963,1.337
Northern Africa,1963,0.553
Northern Africa,1963,-0.519
Northern Africa,1963,0.344
Northern Africa,1963,-1.164
Northern Africa,1963,-0.079
Northern Africa,1963,0.499
Northern Africa,1963,0.284
Northern Africa,1963,0.353
Northern Africa,1963,0.182
Northern Africa,1963,0.475
Northern Africa,1963,1.23
Southern Africa,1963,-0.678
Southern Africa,1963,0.169
Southern Africa,1963,-0.448
Southern Africa,1963,-0.581
Southern Africa,1963,-0.7
Southern Africa,1963,-0.156
Southern Africa,1963,-0.604
Southern Africa,1963,-0.178
Southern Africa,1963,1.632
Southern Africa,1963,0.847
Southern Africa,1963,0.278
Southern Africa,1963,0.093
Western Africa,1963,1.068
Western Africa,1963,1.83
Western Africa,1963,-0.571
Western Africa,1963,-0.292
Western Africa,1963,-0.524
Western Africa,1963,0.337
Western Africa,1963,0.392
Western Africa,1963,0.207
Western Africa,1963,0.535
Western Africa,1963,-0.328
Western Africa,1963,-0.215
Western Africa,1963,0.225
Northern America,1963,-0.618
Northern America,1963,0.644
Northern America,1963,-0.052
Northern America,1963,0.896
Northern America,1963,-0.136
Northern America,1963,-0.168
Northern America,1963,0.119
Northern America,1963,0.037
Northern America,1963,0.319
Northern America,1963,2.08
Northern America,1963,0.438
Northern America,1963,-0.336
Central America,1963,-0.253
Central America,1963,-0.073
Central America,1963,0.5
Central America,1963,0.682
Central America,1963,0.269
Central America,1963,0.092
Central America,1963,0.011
Central America,1963,0.14
Central America,1963,0.239
Central America,1963,0.177
Central America,1963,0.016
Central America,1963,-0.81
South America,1963,-0.022
South America,1963,-0.131
South America,1963,-0.086
South America,1963,0.305
South America,1963,-0.152
South America,1963,-0.09
South America,1963,0.447
South America,1963,0.393
South America,1963,0.268
South America,1963,0.649
South America,1963,-0.067
South America,1963,0.079
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Central Asia,1963,
Eastern Asia,1963,-0.447
Eastern Asia,1963,0.934
Eastern Asia,1963,1.768
Eastern Asia,1963,-0.636
Eastern Asia,1963,0.713
Eastern Asia,1963,-0.038
Eastern Asia,1963,-0.008
Eastern Asia,1963,0.485
Eastern Asia,1963,0.34
Eastern Asia,1963,-0.263
Eastern Asia,1963,0.654
Eastern Asia,1963,0.628
Southern Asia,1963,1.028
Southern Asia,1963,1.839
Southern Asia,1963,-0.171
Southern Asia,1963,-0.267
Southern Asia,1963,-0.989
Southern Asia,1963,0.134
Southern Asia,1963,0.475
Southern Asia,1963,0.14
Southern Asia,1963,0.166
Southern Asia,1963,0.65
Southern Asia,1963,0.436
Southern Asia,1963,-0.276
South-Eastern Asia,1963,-1.121
South-Eastern Asia,1963,-0.602
South-Eastern Asia,1963,-0.505
South-Eastern Asia,1963,-0.253
South-Eastern Asia,1963,0.131
South-Eastern Asia,1963,0.015
South-Eastern Asia,1963,-0.167
South-Eastern Asia,1963,-0.154
South-Eastern Asia,1963,0.121
South-Eastern Asia,1963,-0.139
South-Eastern Asia,1963,0.46
South-Eastern Asia,1963,0.115
Western Asia,1963,1.926
Western Asia,1963,1.894
Western Asia,1963,-0.481
Western Asia,1963,0.144
Western Asia,1963,-1.448
Western Asia,1963,-0.004
Western Asia,1963,0.446
Western Asia,1963,0.347
Western Asia,1963,0.29
Western Asia,1963,0.455
Western Asia,1963,0.3
Western Asia,1963,-0.355
Eastern Europe,1963,-0.504
Eastern Europe,1963,1.345
Eastern Europe,1963,-1.301
Eastern Europe,1963,-0.199
Eastern Europe,1963,0.916
Eastern Europe,1963,-0.351
Eastern Europe,1963,0.389
Eastern Europe,1963,0.119
Eastern Europe,1963,0.699
Eastern Europe,1963,1.013
Eastern Europe,1963,1.077
Eastern Europe,1963,-1.552
Northern Europe,1963,-2.68
Northern Europe,1963,-2.813
Northern Europe,1963,-1.979
Northern Europe,1963,0.444
Northern Europe,1963,2.127
Northern Europe,1963,-0.038
Northern Europe,1963,-0.572
Northern Europe,1963,0.324
Northern Europe,1963,1.02
Northern Europe,1963,0.861
Northern Europe,1963,-0.034
Northern Europe,1963,-0.327
Southern Europe,1963,-1.613
Southern Europe,1963,-1.888
Southern Europe,1963,-0.527
Southern Europe,1963,0.4
Southern Europe,1963,-0.177
Southern Europe,1963,0.058
Southern Europe,1963,0.724
Southern Europe,1963,0.002
Southern Europe,1963,-0.022
Southern Europe,1963,0.548
Southern Europe,1963,2.051
Southern Europe,1963,-0.652
Western Europe,1963,-5.471
Western Europe,1963,-5.129
Western Europe,1963,-0.573
Western Europe,1963,0.747
Western Europe,1963,-0.424
Western Europe,1963,0.06
Western Europe,1963,0.561
Western Europe,1963,-0.919
Western Europe,1963,-0.017
Western Europe,1963,-0.24
Western Europe,1963,2.822
Western Europe,1963,-3.206
Australia and New Zealand,1963,-0.619
Australia and New Zealand,1963,-0.054
Australia and New Zealand,1963,0.323
Australia and New Zealand,1963,-0.744
Australia and New Zealand,1963,0.384
Australia and New Zealand,1963,-0.475
Australia and New Zealand,1963,-0.491
Australia and New Zealand,1963,0.016
Australia and New Zealand,1963,0.053
Australia and New Zealand,1963,0.292
Australia and New Zealand,1963,-0.014
Australia and New Zealand,1963,0.219
Antarctica,1964,0.009
Antarctica,1964,-0.965
Antarctica,1964,0.649
Antarctica,1964,-3.232
Antarctica,1964,-3.206
Antarctica,1964,3.082
Antarctica,1964,2.519
Antarctica,1964,0.949
Antarctica,1964,-2.754
Antarctica,1964,-1.586
Antarctica,1964,0.123
Antarctica,1964,-0.261
South Africa,1964,0.299
South Africa,1964,0.427
South Africa,1964,1.426
South Africa,1964,-0.206
South Africa,1964,0.685
South Africa,1964,-1.178
South Africa,1964,-0.84
South Africa,1964,-0.58
South Africa,1964,-0.275
South Africa,1964,-0.37
South Africa,1964,-0.632
South Africa,1964,-0.322
Africa,1964,-0.09
Africa,1964,0.023
Africa,1964,0.885
Africa,1964,-0.122
Africa,1964,-0.07
Africa,1964,-0.249
Africa,1964,-0.617
Africa,1964,-0.436
Africa,1964,-0.616
Africa,1964,-0.47
Africa,1964,-0.473
Africa,1964,-0.221
Eastern Africa,1964,-0.045
Eastern Africa,1964,0.243
Eastern Africa,1964,0.46
Eastern Africa,1964,-0.134
Eastern Africa,1964,-0.455
Eastern Africa,1964,-0.264
Eastern Africa,1964,-0.975
Eastern Africa,1964,-0.582
Eastern Africa,1964,-0.607
Eastern Africa,1964,-0.445
Eastern Africa,1964,-0.224
Eastern Africa,1964,-0.725
Middle Africa,1964,0.314
Middle Africa,1964,-0.08
Middle Africa,1964,0.397
Middle Africa,1964,-0.058
Middle Africa,1964,-0.048
Middle Africa,1964,-0.28
Middle Africa,1964,-0.585
Middle Africa,1964,-0.416
Middle Africa,1964,-0.441
Middle Africa,1964,-0.601
Middle Africa,1964,-0.353
Middle Africa,1964,-0.238
Northern Africa,1964,-0.752
Northern Africa,1964,-0.395
Northern Africa,1964,1.218
Northern Africa,1964,-0.191
Northern Africa,1964,-0.065
Northern Africa,1964,0.203
Northern Africa,1964,-0.41
Northern Africa,1964,-0.098
Northern Africa,1964,-0.83
Northern Africa,1964,-0.299
Northern Africa,1964,-0.61
Northern Africa,1964,-0.33
Southern Africa,1964,0.463
Southern Africa,1964,0.972
Southern Africa,1964,1.598
Southern Africa,1964,0.166
Southern Africa,1964,0.496
Southern Africa,1964,-1.372
Southern Africa,1964,-1.198
Southern Africa,1964,-0.498
Southern Africa,1964,-0.459
Southern Africa,1964,-0.39
Southern Africa,1964,-0.567
Southern Africa,1964,-0.412
Western Africa,1964,0.108
Western Africa,1964,0.075
Western Africa,1964,1.08
Western Africa,1964,-0.206
Western Africa,1964,0.053
Western Africa,1964,-0.339
Western Africa,1964,-0.317
Western Africa,1964,-0.75
Western Africa,1964,-0.587
Western Africa,1964,-0.625
Western Africa,1964,-0.627
Western Africa,1964,0.555
Northern America,1964,1.222
Northern America,1964,0.689
Northern America,1964,-2.683
Northern America,1964,-0.786
Northern America,1964,-0.023
Northern America,1964,-0.449
Northern America,1964,0.091
Northern America,1964,-0.646
Northern America,1964,-0.481
Northern America,1964,-0.052
Northern America,1964,0.03
Northern America,1964,-1.846
Central America,1964,-0.882
Central America,1964,-0.769
Central America,1964,-0.18
Central America,1964,0.404
Central America,1964,0.185
Central America,1964,-0.652
Central America,1964,0.036
Central America,1964,0.102
Central America,1964,-0.036
Central America,1964,-0.59
Central America,1964,0.06
Central America,1964,-0.071
South America,1964,0.227
South America,1964,0.18
South America,1964,-0.261
South America,1964,0.204
South America,1964,0.045
South America,1964,-0.84
South America,1964,-0.628
South America,1964,-0.134
South America,1964,-0.236
South America,1964,-0.627
South America,1964,-0.601
South America,1964,-0.586
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Central Asia,1964,
Eastern Asia,1964,0.492
Eastern Asia,1964,-3.33
Eastern Asia,1964,0.385
Eastern Asia,1964,1.268
Eastern Asia,1964,0.171
Eastern Asia,1964,-0.345
Eastern Asia,1964,-0.133
Eastern Asia,1964,0.246
Eastern Asia,1964,-0.068
Eastern Asia,1964,-0.152
Eastern Asia,1964,0.522
Eastern Asia,1964,0.197
Southern Asia,1964,-2.586
Southern Asia,1964,-0.111
Southern Asia,1964,1.192
Southern Asia,1964,0.078
Southern Asia,1964,-0.049
Southern Asia,1964,0.012
Southern Asia,1964,-0.157
Southern Asia,1964,0.189
Southern Asia,1964,-0.225
Southern Asia,1964,-0.92
Southern Asia,1964,-0.569
Southern Asia,1964,-1.624
South-Eastern Asia,1964,0.676
South-Eastern Asia,1964,0.148
South-Eastern Asia,1964,0.005
South-Eastern Asia,1964,0.1
South-Eastern Asia,1964,-0.236
South-Eastern Asia,1964,-0.128
South-Eastern Asia,1964,-0.096
South-Eastern Asia,1964,-0.012
South-Eastern Asia,1964,0.04
South-Eastern Asia,1964,-0.011
South-Eastern Asia,1964,-0.565
South-Eastern Asia,1964,-0.657
Western Asia,1964,-2.336
Western Asia,1964,-0.503
Western Asia,1964,0.642
Western Asia,1964,-0.288
Western Asia,1964,-0.516
Western Asia,1964,0.1
Western Asia,1964,-0.261
Western Asia,1964,-0.719
Western Asia,1964,-0.601
Western Asia,1964,-0.801
Western Asia,1964,-0.453
Western Asia,1964,-0.64
Eastern Europe,1964,-1.938
Eastern Europe,1964,-1.124
Eastern Europe,1964,-0.94
Eastern Europe,1964,-1.109
Eastern Europe,1964,-0.632
Eastern Europe,1964,0.967
Eastern Europe,1964,-0.236
Eastern Europe,1964,-0.945
Eastern Europe,1964,-0.128
Eastern Europe,1964,-0.455
Eastern Europe,1964,0.435
Eastern Europe,1964,-0.326
Northern Europe,1964,3.445
Northern Europe,1964,0.225
Northern Europe,1964,0.05
Northern Europe,1964,0.783
Northern Europe,1964,1.096
Northern Europe,1964,-0.863
Northern Europe,1964,-0.617
Northern Europe,1964,-0.594
Northern Europe,1964,-0.492
Northern Europe,1964,0.884
Northern Europe,1964,0.362
Northern Europe,1964,0.335
Southern Europe,1964,-1.421
Southern Europe,1964,0.056
Southern Europe,1964,-0.038
Southern Europe,1964,0.254
Southern Europe,1964,1.31
Southern Europe,1964,1.023
Southern Europe,1964,0.264
Southern Europe,1964,-0.076
Southern Europe,1964,0.723
Southern Europe,1964,-0.246
Southern Europe,1964,0.322
Southern Europe,1964,-0.488
Western Europe,1964,-1.807
Western Europe,1964,0.726
Western Europe,1964,-1.67
Western Europe,1964,0.86
Western Europe,1964,1.583
Western Europe,1964,1.069
Western Europe,1964,1.139
Western Europe,1964,-0.029
Western Europe,1964,0.784
Western Europe,1964,-1.736
Western Europe,1964,0.685
Western Europe,1964,-0.829
Australia and New Zealand,1964,-0.27
Australia and New Zealand,1964,-0.548
Australia and New Zealand,1964,0.08
Australia and New Zealand,1964,0.108
Australia and New Zealand,1964,-0.055
Australia and New Zealand,1964,0.187
Australia and New Zealand,1964,0.69
Australia and New Zealand,1964,0.244
Australia and New Zealand,1964,0.611
